val	count
872	2
893	2
947	1
268	3
930	3
159	1
175	3
819	2
922	1
262	5
84	4
1005	1
1053	1
871	2
2597	1
967	1
919	2
879	1
934	1
115	1
109	3
1574	1
1440	1
1596	2
1350	1
1220	1
245	4
854	2
877	1
139	2
944	2
152	1
2028	1
2254	1
884	2
149	3
96	1
1555	1
866	2
1453	1
899	2
1201	1
2468	1
123	1
190	4
940	2
869	1
936	2
1164	2
221	2
229	6
189	2
891	1
25	1
850	1
1061	2
960	1
170	2
925	1
186	4
111	1
243	2
99	2
1584	1
1367	1
135	2
937	2
94	1
833	3
928	1
985	1
809	1
195	1
143	3
878	1
1074	1
974	1
901	1
910	2
1348	1
275	5
954	1
1011	1
1393	1
949	2
210	1
994	1
973	1
145	2
951	1
2481	2
3513	2
1514	1
1469	1
3804	1
1043	1
918	1
2603	1
2609	1
1628	1
2998	1
46	1
138	1
961	1
1365	1
1125	1
1069	2
142	1
114	1
1103	1
97	1
926	1
194	1
765	1
889	1
917	1
958	1
