val	count
43.47	15
44.52	7
39.96	6
38.87	14
39.44	2
39.62	4
38.26	6
39.08	13
31.74	4
36.13	4
35.97	3
34.03	6
34.5	9
35.2	6
35.04	8
42.91	8
35.46	6
54.01	6
31.5	3
42.6	15
38.22	2
40.45	29
51.18	3
49.74	2
51.51	3
52.45	7
62.88	6
62.57	4
62.12	1
62.66	2
38.66	8
43.25	12
39.94	54
40.8	31
41.41	33
42.29	15
61.17	2
44.34	7
67.97	1
57.96	10
62.95	5
62.37	3
57.59	9
64.34	1
53.11	9
60.81	5
34.2	5
49.57	5
46.97	4
52.2	3
54.52	8
53.12	7
44.01	8
40.41	21
31.45	2
31.23	3
33.56	5
43.62	12
46.19	4
46.22	5
45.87	6
62.29	3
59.65	8
59.52	7
47.43	7
62.42	6
47.01	6
53.72	4
46.13	8
46.58	13
43.35	18
54.14	2
65.71	1
64.83	1
35.06	11
38.55	9
30.82	4
43.56	9
33.53	7
58.76	10
52.87	1
48.9	7
54.85	7
52.97	5
36.72	6
40.86	9
37.5	20
35.39	9
34.67	5
34.8	2
38.25	7
31.42	4
35.8	2
32.63	3
47.15	2
34.62	3
25.28	1
26.04	1
56.06	14
64.64	2
42.04	21
26.84	1
30.09	2
59.87	5
39.07	11
42.5	12
42.14	11
42.42	12
61.27	5
36.96	7
56.53	11
56.87	16
58.56	11
55.23	11
49.4	9
59.69	7
40.33	20
57.07	14
56.59	13
53.47	8
59.72	7
37.8	13
37.3	8
45.45	13
52.11	4
37.07	2
43.69	13
38.03	8
26.34	3
27.45	3
31.19	3
30.69	1
32.14	6
35.74	6
50.29	4
48.68	5
54.9	8
46.67	12
47.03	5
43.81	19
44.44	38
44.98	10
46.52	1
43.38	11
45.81	4
40.42	4
38.08	7
39.33	6
32.95	6
34.57	8
31.66	12
33.49	3
33.85	11
39.85	7
44.72	5
47.33	3
47.85	2
50.55	2
58.32	9
61.09	8
57.77	14
31.64	3
41.63	3
31.99	3
32.29	6
32.83	10
57.6	10
61.22	4
43.37	8
41.29	41
47.69	2
63.59	5
57.73	6
39.88	9
39.24	9
34.63	9
47.18	1
42.44	14
41.04	108
40.72	21
41.78	34
39.3	7
41.96	8
42.11	13
43.11	25
49.65	2
64.45	3
53.06	2
51.97	3
48.72	3
58.96	8
42.22	34
59.21	3
56.61	12
57.49	8
52.19	2
55.92	5
55.24	7
59.94	7
60.35	3
56.94	12
57.32	9
51.66	5
53.23	1
51.35	3
56.14	14
57.31	13
43.68	8
44.59	11
44.67	11
45.52	7
45.14	9
44.58	11
45.63	9
44.51	14
46.03	4
64.58	3
55.64	7
48.21	7
53.78	3
57.1	7
60.65	3
37.09	2
38.51	13
41.69	22
46.4	2
47.46	4
55.25	4
55.87	12
55.72	6
56.15	11
57.51	9
57.48	12
56.97	15
57.34	9
55.76	4
56.16	14
57.01	11
56.72	15
55.91	4
35.32	9
50.49	3
41.86	22
36.41	2
37.28	8
41.36	12
41.83	41
43.97	26
64.57	4
61.64	5
59.48	3
57.82	5
56.9	9
58.41	4
59.43	9
51.43	5
50.23	4
52.02	3
57.09	14
58.94	8
42.39	14
45.24	9
53.36	5
55.75	7
57.37	9
59.23	10
60.64	4
60.77	4
58.01	7
57.0	8
58.33	13
58.07	7
56.01	8
50.94	2
45.71	8
46.88	10
47.94	4
37.06	3
27.15	3
28.2	3
35.37	7
46.7	6
40.87	10
43.02	10
53.27	8
40.65	17
32.24	3
34.72	8
34.74	7
34.25	5
34.91	8
34.76	5
38.5	8
37.38	10
32.91	6
37.47	3
38.56	9
45.44	2
35.02	6
66.57	2
61.3	7
45.15	9
43.87	8
55.51	9
42.64	17
41.15	5
41.44	12
45.66	6
53.58	4
66.56	1
60.98	7
51.52	2
49.75	1
26.55	3
36.86	5
46.68	9
54.37	8
42.24	11
44.57	13
44.25	21
46.94	3
54.84	26
53.09	2
53.1	1
42.61	51
35.61	3
31.78	6
35.12	7
33.99	2
32.5	6
33.42	3
32.27	7
34.1	3
34.9	6
29.78	3
31.38	2
32.52	4
45.0	11
45.09	11
42.96	15
61.51	8
61.89	6
37.21	4
67.48	2
36.48	7
31.62	4
36.99	9
52.1	1
30.35	7
53.81	3
24.48	2
26.06	4
26.15	2
26.59	4
44.09	15
44.71	21
39.11	18
39.25	10
41.71	10
42.47	8
41.79	55
43.84	7
43.24	14
65.64	3
38.02	5
46.04	3
64.39	1
53.33	6
52.94	5
53.7	1
58.82	14
57.42	10
54.98	6
59.68	9
54.59	5
50.71	1
56.74	6
40.39	14
45.21	7
55.67	14
48.87	5
59.57	15
45.28	12
42.23	20
59.66	4
53.77	5
61.62	4
61.63	5
59.29	6
50.82	7
46.2	5
51.59	1
53.85	13
54.99	5
57.93	11
58.5	12
58.47	20
56.42	5
57.69	11
58.71	11
57.4	13
59.6	9
38.61	5
34.49	5
55.11	5
42.05	15
40.79	43
42.62	8
42.87	3
35.66	4
34.51	3
44.07	9
44.7	5
44.39	12
40.76	14
38.97	8
63.9	3
44.04	21
41.38	6
51.55	4
56.6	8
59.75	3
58.12	12
33.17	3
49.94	1
32.84	5
38.91	6
35.88	10
36.35	6
34.42	5
54.04	2
60.91	11
55.57	3
44.3	17
44.65	15
44.36	8
43.07	10
50.41	3
49.93	1
38.53	9
38.7	6
39.55	7
39.09	6
39.43	7
36.7	3
40.08	2
39.48	5
30.72	8
35.93	10
35.41	3
31.35	2
32.28	5
27.54	2
28.88	1
30.55	2
33.77	6
42.07	10
30.85	1
29.85	2
36.05	7
38.11	6
39.22	6
32.47	5
32.46	5
33.18	4
41.51	12
30.87	4
33.39	1
38.32	7
33.54	6
44.9	6
43.54	17
43.73	3
44.38	9
45.37	8
36.34	6
44.06	9
34.34	4
50.52	6
49.31	1
61.13	2
54.89	6
54.97	7
56.69	3
54.66	5
71.64	1
55.58	13
56.09	6
64.26	2
56.19	8
40.89	13
41.67	38
32.44	4
28.48	4
