geneGC	obsGC
45.22068095838588	37.23
45.22068095838588	31.34
45.22068095838588	36.63
50.02832861189802	52.75
50.02832861189802	49.89
48.31130690161527	45.402727272727276
48.31130690161527	47.556666666666665
48.31130690161527	56.71
48.31130690161527	45.861428571428576
48.31130690161527	44.588181818181816
48.31130690161527	59.245000000000005
48.31130690161527	42.13166666666667
48.31130690161527	44.34
48.31130690161527	46.30769230769231
48.31130690161527	48.35285714285715
48.31130690161527	45.154444444444444
48.31130690161527	46.54454545454546
48.31130690161527	43.31
48.31130690161527	42.63
48.31130690161527	47.28454545454545
48.31130690161527	55.13
48.31130690161527	49.08200000000001
48.31130690161527	43.51333333333333
48.31130690161527	46.160000000000004
48.31130690161527	45.2369696969697
48.31130690161527	45.074999999999996
48.31130690161527	49.8575
48.31130690161527	45.13
48.31130690161527	42.83
48.31130690161527	44.95
48.31130690161527	47.498000000000005
48.31130690161527	43.34923076923077
48.31130690161527	46.57636363636364
48.31130690161527	51.535
48.31130690161527	44.88461538461537
48.31130690161527	43.791666666666664
48.31130690161527	46.77666666666667
48.31130690161527	45.10214285714285
48.31130690161527	43.32
48.31130690161527	47.3811111111111
48.31130690161527	42.769999999999996
48.31130690161527	40.935
48.31130690161527	44.84833333333333
48.31130690161527	44.42499999999999
48.31130690161527	41.413333333333334
48.31130690161527	46.68615384615384
48.31130690161527	44.47
48.31130690161527	63.04
48.31130690161527	49.21
48.31130690161527	49.85333333333333
48.31130690161527	45.45
48.31130690161527	43.79714285714285
48.31130690161527	59.00083333333334
48.31130690161527	44.735
48.31130690161527	43.76
48.31130690161527	46.9988888888889
48.31130690161527	47.9375
48.31130690161527	43.234285714285704
48.31130690161527	42.54333333333333
48.31130690161527	45.269999999999996
48.31130690161527	45.92666666666667
48.31130690161527	44.86
48.31130690161527	46.40962962962963
48.31130690161527	43.13666666666666
48.31130690161527	48.150999999999996
48.31130690161527	51.76333333333333
48.31130690161527	45.17666666666667
48.31130690161527	46.580000000000005
48.31130690161527	46.33363636363636
48.31130690161527	46.32777777777777
48.31130690161527	43.7376923076923
48.31130690161527	48.41304347826086
48.31130690161527	43.5735294117647
48.31130690161527	55.16
48.31130690161527	46.98857142857143
48.31130690161527	44.251999999999995
48.31130690161527	46.442857142857136
48.31130690161527	47.68818181818181
